sub	sess	t	loc	cue	co1	co2	or	resp	rt
1	1	1	1	1	0.4370	0.3106	1	1	1.046
1	1	2	1	3	0.4370	0.3106	0	0	1.635
1	1	3	1	1	0.4370	0.3106	1	1	1.272
1	1	4	2	2	0.4370	0.3106	1	1	1.195
1	1	5	2	3	0.4370	0.3106	1	1	1.289
1	1	6	1	3	0.4370	0.3106	1	1	0.899
1	1	7	1	1	0.4370	0.3106	0	0	1.196
1	1	8	2	3	0.4370	0.3106	0	1	0.777
1	1	9	2	1	0.4370	0.3106	1	1	0.815
1	1	10	1	2	0.4370	0.3106	0	1	1.091
1	1	11	1	1	0.4370	0.3106	0	1	1.490
1	1	12	2	2	0.4370	0.3106	0	1	1.403
1	1	13	1	3	0.4370	0.3106	1	1	1.078
1	1	14	1	2	0.4370	0.3106	0	1	1.106
1	1	15	2	1	0.4370	0.3106	0	1	0.897
1	1	16	2	1	0.4370	0.3106	0	1	0.808
1	1	17	1	1	0.4370	0.3106	1	1	1.016
1	1	18	1	1	0.4370	0.3106	1	1	1.029
1	1	19	2	3	0.4370	0.3106	1	1	0.852
1	1	20	2	2	0.4370	0.3106	1	1	0.891
1	1	21	1	3	0.4370	0.3106	1	1	0.902
1	1	22	2	2	0.4370	0.3106	1	1	0.802
1	1	23	2	3	0.4370	0.3106	1	1	0.982
1	1	24	1	3	0.4370	0.3106	0	1	0.957
1	1	25	1	1	0.4370	0.3106	1	1	0.879
1	1	26	2	3	0.4370	0.3106	0	1	0.759
1	1	27	2	2	0.4370	0.3106	0	1	0.808
1	1	28	2	2	0.4370	0.3106	0	0	0.705
1	1	29	1	1	0.4370	0.3106	1	1	1.447
1	1	30	1	1	0.4370	0.3106	0	1	1.153
1	1	31	1	2	0.4370	0.3106	1	1	1.154
1	1	32	1	3	0.4370	0.3106	1	1	1.069
1	1	33	1	1	0.4370	0.3106	0	1	0.807
1	1	34	1	1	0.4370	0.3106	1	0	1.751
1	1	35	1	1	0.4370	0.3106	0	1	0.951
1	1	36	1	3	0.4370	0.3106	0	1	0.840
1	1	37	2	3	0.4370	0.3106	0	1	0.869
1	1	38	1	1	0.4370	0.3106	0	1	0.753
1	1	39	2	2	0.4370	0.3106	1	1	0.671
1	1	40	2	2	0.4370	0.3106	0	1	0.671
1	1	41	2	2	0.4370	0.3106	0	1	0.557
1	1	42	2	2	0.4370	0.3106	1	1	0.798
1	1	43	2	2	0.4370	0.3106	0	1	0.478
1	1	44	2	2	0.4370	0.3106	1	1	0.636
1	1	45	1	1	0.4370	0.3106	1	1	0.762
1	1	46	2	3	0.4370	0.3106	1	1	0.659
1	1	47	1	2	0.4370	0.3106	1	1	0.759
1	1	48	2	1	0.4370	0.3106	1	1	0.737
1	1	49	2	2	0.4370	0.3106	1	1	0.616
1	1	50	2	3	0.4370	0.3106	0	1	0.822
1	1	51	1	3	0.4370	0.3106	0	0	0.690
1	1	52	2	2	0.4370	0.3106	1	1	0.684
1	1	53	2	2	0.4370	0.3106	0	1	0.578
1	1	54	1	1	0.4370	0.3106	0	1	0.636
1	1	55	1	1	0.4370	0.3106	0	1	0.620
1	1	56	2	2	0.4370	0.3106	0	1	0.546
1	1	57	2	2	0.4370	0.3106	1	1	0.689
1	1	58	1	1	0.4370	0.3106	0	1	0.604
1	1	59	2	2	0.4370	0.3106	0	1	0.511
1	1	60	2	2	0.4370	0.3106	1	1	0.592
1	1	61	1	1	0.4370	0.3106	0	1	0.865
1	1	62	1	1	0.4370	0.3106	0	1	1.301
1	1	63	1	1	0.4370	0.3106	0	1	0.670
1	1	64	2	2	0.4370	0.3106	1	1	0.969
1	1	65	2	1	0.4370	0.3106	0	1	0.582
1	1	66	1	2	0.4370	0.3106	0	1	0.864
1	1	67	2	2	0.4370	0.3106	0	1	0.731
1	1	68	1	2	0.4370	0.3106	0	1	0.835
1	1	69	1	1	0.4370	0.3106	0	1	0.803
1	1	70	2	3	0.4370	0.3106	1	1	1.331
1	1	71	2	2	0.4370	0.3106	0	1	0.683
1	1	72	1	3	0.4370	0.3106	0	1	0.681
1	1	73	2	1	0.4370	0.3106	1	1	0.819
1	1	74	2	3	0.4370	0.3106	0	1	0.772
1	1	75	1	1	0.4370	0.3106	0	1	0.784
1	1	76	1	3	0.4370	0.3106	1	1	0.905
1	1	77	2	2	0.4370	0.3106	1	1	0.707
1	1	78	2	2	0.4370	0.3106	1	1	0.616
1	1	79	1	3	0.4370	0.3106	0	1	0.670
1	1	80	1	1	0.4370	0.3106	1	0	0.669
1	1	81	1	2	0.4370	0.3106	1	1	0.792
1	1	82	2	3	0.4370	0.3106	0	1	0.764
1	1	83	1	1	0.4370	0.3106	1	1	0.672
1	1	84	1	1	0.4370	0.3106	0	1	1.086
1	1	85	1	3	0.4370	0.3106	0	0	0.874
1	1	86	2	3	0.4370	0.3106	0	1	0.731
1	1	87	1	3	0.4370	0.3106	0	1	1.476
1	1	88	1	1	0.4370	0.3106	1	0	1.239
1	1	89	2	2	0.4370	0.3106	0	0	1.325
1	1	90	1	1	0.4370	0.3106	1	1	1.418
1	1	91	1	1	0.4370	0.3106	1	1	0.751
1	1	92	2	2	0.4370	0.3106	0	1	0.637
1	1	93	2	1	0.4370	0.3106	1	1	0.669
1	1	94	1	1	0.4370	0.3106	1	1	0.752
1	1	95	2	3	0.4370	0.3106	1	1	0.641
1	1	96	2	2	0.4370	0.3106	0	1	0.679
1	1	97	2	3	0.4370	0.3106	1	1	0.722
1	1	98	1	1	0.4370	0.3106	1	1	0.931
1	1	99	1	1	0.4370	0.3106	1	1	0.880
1	1	100	2	2	0.4370	0.3106	0	1	0.567
1	1	101	1	3	0.4370	0.3106	1	0	0.678
1	1	102	2	3	0.4370	0.3106	1	1	0.636
1	1	103	2	2	0.4370	0.3106	1	1	0.800
1	1	104	2	3	0.4370	0.3106	0	1	0.756
1	1	105	2	2	0.4370	0.3106	1	1	0.625
1	1	106	2	2	0.4370	0.3106	1	1	0.557
1	1	107	1	3	0.4370	0.3106	1	1	0.778
1	1	108	1	2	0.4370	0.3106	1	1	0.899
1	1	109	1	3	0.4370	0.3106	1	1	1.237
1	1	110	2	1	0.4370	0.3106	0	1	0.843
1	1	111	2	2	0.4370	0.3106	0	0	0.730
1	1	112	1	1	0.4370	0.3106	0	1	0.698
