sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
2	1	2	0	2	-1	0.1395	0.0500	1	1	0.674
2	1	4	0	2	-1	0.1395	0.0500	1	1	0.639
2	1	6	0	2	-1	0.1395	0.0500	0	1	0.839
2	1	8	0	2	-1	0.1395	0.0500	1	1	0.869
2	1	10	0	2	-1	0.1395	0.0500	1	1	0.560
2	1	12	0	2	-1	0.1395	0.0500	0	1	0.519
2	1	14	0	1	-1	0.1395	0.0500	0	1	0.491
2	1	16	0	1	-1	0.1395	0.0500	0	1	0.490
2	1	18	0	2	-1	0.1395	0.0500	0	1	0.609
2	1	20	0	1	-1	0.1395	0.0500	0	1	0.568
2	1	22	0	2	-1	0.1395	0.0500	1	1	0.466
2	1	24	0	1	-1	0.1395	0.0500	1	1	0.604
2	1	26	0	1	-1	0.1395	0.0500	0	1	0.420
2	1	28	0	1	-1	0.1395	0.0500	1	1	0.366
2	1	30	0	2	-1	0.1395	0.0500	0	1	0.806
2	1	32	0	1	-1	0.1395	0.0500	1	1	0.387
2	1	34	0	2	-1	0.1395	0.0500	1	1	0.409
2	1	36	0	2	-1	0.1395	0.0500	1	1	0.381
2	1	38	0	2	-1	0.1395	0.0500	0	1	0.440
2	1	40	0	2	-1	0.1395	0.0500	0	1	0.705
2	1	42	0	1	-1	0.1395	0.0500	1	1	0.331
2	1	44	0	1	-1	0.1395	0.0500	0	1	0.486
2	1	46	0	2	-1	0.1395	0.0500	0	1	0.516
2	1	48	0	1	-1	0.1395	0.0500	1	1	0.476
2	1	50	0	1	-1	0.1395	0.0500	0	0	0.376
2	1	52	0	1	-1	0.1395	0.0500	0	1	0.391
2	1	54	0	1	-1	0.1395	0.0500	0	1	0.530
2	1	56	0	2	-1	0.1395	0.0500	1	1	0.471
2	1	58	0	1	-1	0.1395	0.0500	1	1	0.393
2	1	60	0	1	-1	0.1395	0.0500	1	1	0.403
2	1	62	0	2	-1	0.1395	0.0500	0	1	0.487
2	1	64	0	1	-1	0.1395	0.0500	1	1	0.435
2	1	66	0	1	-1	0.1395	0.0500	1	1	0.470
2	1	68	0	2	-1	0.1395	0.0500	0	1	0.520
2	1	70	0	1	-1	0.1395	0.0500	0	1	0.394
2	1	72	0	2	-1	0.1395	0.0500	0	1	0.500
2	1	74	0	2	-1	0.1395	0.0500	1	1	0.477
2	1	76	0	2	-1	0.1395	0.0500	1	1	0.737
2	1	78	0	1	-1	0.1395	0.0500	0	1	0.376
2	1	80	0	1	-1	0.1395	0.0500	1	1	0.469
2	1	82	0	2	-1	0.1395	0.0500	0	1	0.646
2	1	84	0	1	-1	0.1395	0.0500	0	1	0.395
2	1	86	0	2	-1	0.1395	0.0500	0	1	0.363
2	1	88	0	2	-1	0.1395	0.0500	1	1	0.433
2	1	90	0	2	-1	0.1395	0.0500	1	1	0.464
2	1	92	0	2	-1	0.1395	0.0500	0	1	0.365
2	1	94	0	1	-1	0.1395	0.0500	1	1	0.371
2	1	96	0	1	-1	0.1395	0.0500	0	1	0.345
2	1	98	0	2	-1	0.1395	0.0500	1	1	0.483
2	1	100	0	1	-1	0.1395	0.0500	0	1	0.388
2	1	102	0	2	-1	0.1395	0.0500	1	1	0.516
2	1	104	0	1	-1	0.1395	0.0500	1	1	0.394
2	1	106	0	1	-1	0.1395	0.0500	0	1	0.399
2	1	108	0	2	-1	0.1395	0.0500	0	1	0.432
2	1	110	0	1	-1	0.1395	0.0500	1	1	0.469
2	1	112	0	1	-1	0.1395	0.0500	0	1	0.426
2	1	114	0	1	-1	0.1395	0.0500	1	1	0.450
2	1	116	0	1	-1	0.1395	0.0500	0	1	0.538
2	1	118	0	2	-1	0.1395	0.0500	1	1	0.365
2	1	120	0	1	-1	0.1395	0.0500	1	1	0.377
2	1	122	0	2	-1	0.1395	0.0500	1	1	0.381
2	1	124	0	2	-1	0.1395	0.0500	0	1	0.456
2	1	126	0	1	-1	0.1395	0.0500	1	1	0.350
2	1	128	0	2	-1	0.1395	0.0500	0	1	0.351
