sub	sess	t	loc	co1	co2	or	resp	rt
3	1	1	2	1.0000	1.0000	1	1	2.126
3	1	2	2	1.0000	1.0000	1	1	0.916
3	1	3	2	1.0000	1.0000	1	1	1.194
3	1	4	2	1.0000	1.0000	1	0	0.902
3	1	5	1	1.0000	1.0000	0	1	1.035
3	1	6	1	1.0000	1.0000	1	1	1.348
3	1	7	1	1.0000	1.0000	0	1	0.822
3	1	8	2	1.0000	1.0000	1	1	0.674
3	1	9	2	1.0000	1.0000	0	1	0.922
3	1	10	1	1.0000	1.0000	0	1	0.980
3	1	11	1	1.0000	1.0000	1	1	0.693
3	1	12	1	1.0000	1.0000	1	1	0.706
3	1	13	1	1.0000	1.0000	0	1	0.668
3	1	14	1	1.0000	1.0000	0	1	0.601
3	1	15	1	1.0000	1.0000	1	1	0.620
3	1	16	1	1.0000	1.0000	1	1	0.522
3	1	17	1	1.0000	1.0000	1	1	0.542
3	1	18	2	1.0000	1.0000	0	1	0.508
3	1	19	2	1.0000	1.0000	0	1	0.629
3	1	20	2	1.0000	1.0000	0	1	0.522
3	1	21	1	1.0000	1.0000	0	0	0.999
3	1	22	2	1.0000	1.0000	1	1	1.068
3	1	23	1	1.0000	1.0000	1	1	1.373
3	1	24	2	1.0000	1.0000	0	1	1.103
3	1	25	1	1.0000	1.0000	1	1	2.119
3	1	26	2	1.0000	1.0000	1	0	1.640
3	1	27	2	1.0000	1.0000	0	0	1.276
3	1	28	1	1.0000	1.0000	0	1	1.552
3	1	29	1	0.2500	0.2500	1	1	1.552
3	1	30	2	0.2629	0.2629	0	1	1.552
3	1	31	2	0.2758	0.2758	0	1	1.552
3	1	32	2	0.2887	0.2887	0	1	1.552
3	1	33	1	0.3016	0.3016	0	1	1.552
3	1	34	2	0.3145	0.3145	1	1	1.552
3	1	35	2	0.3274	0.3274	0	1	1.552
3	1	36	1	0.3403	0.3403	1	1	1.552
3	1	37	2	0.3532	0.3532	0	1	1.552
3	1	38	2	0.3661	0.3661	0	1	1.552
3	1	39	1	0.3790	0.3790	0	1	1.552
3	1	40	1	0.3919	0.3919	1	1	1.552
3	1	41	2	0.4048	0.4048	0	1	1.552
3	1	42	1	0.4177	0.4177	1	1	1.552
3	1	43	1	0.4306	0.4306	1	1	1.552
