sub	sess	t	loc	cue	co1	co2	or	resp	rt
1	1	1	1	3	0.1000	0.1000	1	1	1.620
1	1	2	1	3	0.1000	0.1000	1	1	0.950
1	1	3	1	3	0.1000	0.1000	1	1	0.488
1	1	4	1	3	0.1000	0.1000	1	1	0.601
1	1	5	2	3	0.1000	0.1000	0	1	0.674
1	1	6	1	3	0.1000	0.1000	0	1	0.476
1	1	7	1	3	0.1000	0.1000	0	1	0.473
1	1	8	2	3	0.1000	0.1000	1	1	0.493
1	1	9	1	3	0.1000	0.1000	1	1	0.905
1	1	10	1	3	0.1000	0.1000	0	1	0.472
1	1	11	2	3	0.1000	0.1000	1	1	0.505
1	1	12	1	3	0.1000	0.1000	0	1	0.494
1	1	13	1	3	0.1000	0.1000	1	1	0.767
1	1	14	1	3	0.1000	0.1000	1	1	0.610
1	1	15	1	3	0.1000	0.1000	0	1	0.540
1	1	16	1	3	0.1000	0.1000	0	1	0.647
1	1	17	2	3	0.1000	0.1000	0	1	0.612
1	1	18	1	3	0.1000	0.1000	0	1	0.513
1	1	19	1	3	0.1000	0.1000	1	1	1.743
1	1	20	1	3	0.1000	0.1000	0	1	0.550
1	1	21	1	3	0.1000	0.1000	0	1	0.644
1	1	22	1	3	0.1000	0.1000	0	1	0.559
1	1	23	1	3	0.1000	0.1000	0	1	0.692
1	1	24	1	3	0.1000	0.1000	1	1	1.019
1	1	25	1	3	0.1000	0.1000	0	1	0.696
1	1	26	1	3	0.1000	0.1000	0	1	1.102
1	1	27	1	3	0.1000	0.1000	0	1	0.500
1	1	28	1	3	0.1000	0.1000	1	0	0.549
1	1	29	1	3	0.1000	0.1000	1	1	0.637
1	1	30	2	3	0.1000	0.1000	1	1	0.502
1	1	31	1	3	0.1000	0.1000	1	0	0.666
1	1	32	1	3	0.1000	0.1000	0	1	0.686
1	1	33	1	3	0.1000	0.1000	1	1	0.795
1	1	34	1	3	0.1000	0.1000	1	0	0.613
1	1	35	2	3	0.1000	0.1000	1	1	0.610
1	1	36	2	3	0.1000	0.1000	0	1	0.651
1	1	37	1	3	0.1000	0.1000	1	0	0.719
1	1	38	1	3	0.1000	0.1000	1	1	0.826
1	1	39	2	3	0.1000	0.1000	0	1	0.693
1	1	40	1	3	0.1000	0.1000	0	0	0.671
1	1	41	1	3	0.1000	0.1000	0	1	0.592
1	1	42	1	3	0.1000	0.1000	0	1	0.558
1	1	43	1	3	0.1000	0.1000	1	1	1.251
1	1	44	1	3	0.1000	0.1000	0	1	0.577
1	1	45	1	3	0.1000	0.1000	1	0	0.980
1	1	46	2	3	0.1000	0.1000	1	1	0.520
1	1	47	1	3	0.1000	0.1000	1	0	0.796
1	1	48	2	3	0.1000	0.1000	0	1	1.071
1	1	49	1	3	0.1000	0.1000	0	1	0.500
1	1	50	1	3	0.1000	0.1000	0	1	0.511
1	1	51	1	3	0.1000	0.1000	1	0	0.525
1	1	52	2	3	0.1000	0.1000	0	1	0.759
1	1	53	1	3	0.1000	0.1000	0	1	0.543
1	1	54	1	3	0.1000	0.1000	0	1	0.535
1	1	55	1	3	0.1000	0.1000	1	0	0.475
