sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
2	1	1	0	1	3	0.6968	0.4046	0	1	2.770
2	1	2	0	1	1	0.6968	0.4046	0	1	0.831
2	1	3	0	2	2	0.6968	0.4046	0	0	1.989
2	1	4	0	1	1	0.6968	0.4046	1	0	0.730
2	1	5	0	1	3	0.6968	0.4046	0	1	0.595
2	1	6	0	2	1	0.6968	0.4046	1	1	0.613
2	1	7	0	1	3	0.6968	0.4046	0	1	0.605
2	1	8	0	1	1	0.6968	0.4046	0	1	0.524
2	1	9	0	2	3	0.6968	0.4046	1	1	0.688
2	1	10	0	2	3	0.6968	0.4046	1	1	0.538
2	1	11	0	2	2	0.6968	0.4046	0	1	0.494
2	1	12	0	1	3	0.6968	0.4046	1	1	0.489
2	1	13	0	2	2	0.6968	0.4046	0	1	0.404
2	1	14	0	1	3	0.6968	0.4046	0	0	0.560
2	1	15	0	1	3	0.6968	0.4046	1	1	0.465
2	1	16	0	2	1	0.6968	0.4046	0	1	0.759
2	1	17	0	1	2	0.6968	0.4046	0	1	0.547
2	1	18	0	1	2	0.6968	0.4046	0	1	0.651
2	1	19	0	2	2	0.6968	0.4046	1	1	0.578
2	1	20	0	1	1	0.6968	0.4046	1	1	0.568
2	1	21	0	2	1	0.6968	0.4046	0	1	0.460
2	1	22	0	2	3	0.6968	0.4046	0	1	0.468
2	1	23	0	2	3	0.6968	0.4046	0	1	0.796
2	1	24	0	1	2	0.6968	0.4046	1	1	1.147
2	1	25	0	2	2	0.6968	0.4046	1	0	0.774
2	1	26	0	1	3	0.6968	0.4046	1	1	0.824
2	1	27	0	2	1	0.6968	0.4046	1	1	0.649
2	1	28	0	1	2	0.6968	0.4046	1	1	1.156
2	1	29	0	2	2	0.6968	0.4046	0	0	0.570
2	1	30	0	2	2	0.6968	0.4046	1	1	0.830
2	1	31	0	2	2	0.6968	0.4046	1	0	0.579
2	1	32	0	1	3	0.6968	0.4046	1	1	0.942
2	1	33	1	2	1	0.6968	0.4046	0	1	0.777
2	1	34	1	2	2	0.6968	0.4046	1	1	0.593
2	1	35	1	1	1	0.6968	0.4046	1	1	0.767
2	1	36	1	1	3	0.6968	0.4046	1	1	0.710
2	1	37	1	1	3	0.6968	0.4046	0	1	0.619
2	1	38	1	2	2	0.6968	0.4046	0	1	0.769
2	1	39	1	2	1	0.6968	0.4046	1	0	0.847
2	1	40	1	1	1	0.6968	0.4046	1	1	0.621
2	1	41	1	2	2	0.6968	0.4046	1	1	0.564
2	1	42	1	2	2	0.6968	0.4046	0	1	0.528
2	1	43	1	2	2	0.6968	0.4046	1	1	0.519
2	1	44	1	1	1	0.6968	0.4046	0	1	0.561
2	1	45	1	1	3	0.6968	0.4046	0	1	0.762
2	1	46	1	1	2	0.6968	0.4046	0	1	0.620
2	1	47	1	2	3	0.6968	0.4046	1	1	0.549
2	1	48	1	2	2	0.6968	0.4046	0	1	0.622
2	1	49	1	1	3	0.6968	0.4046	1	1	0.651
2	1	50	1	1	2	0.6968	0.4046	1	1	0.842
2	1	51	1	2	3	0.6968	0.4046	0	1	0.535
2	1	52	1	2	1	0.6968	0.4046	0	1	0.454
2	1	53	1	2	2	0.6968	0.4046	0	1	0.378
2	1	54	1	1	3	0.6968	0.4046	1	1	0.549
2	1	55	1	1	1	0.6968	0.4046	0	1	0.534
2	1	56	1	1	3	0.6968	0.4046	0	0	0.732
2	1	57	1	2	3	0.6968	0.4046	0	1	0.577
2	1	58	1	1	3	0.6968	0.4046	1	1	0.650
2	1	59	1	1	2	0.6968	0.4046	0	1	0.553
2	1	60	1	1	2	0.6968	0.4046	1	0	0.559
2	1	61	1	2	1	0.6968	0.4046	1	1	0.577
2	1	62	1	2	2	0.6968	0.4046	1	1	0.545
2	1	63	1	2	3	0.6968	0.4046	1	1	0.554
2	1	64	1	1	3	0.6968	0.4046	0	1	0.465
