sub	sess	t	loc	co1	co2	or	resp	rt
3	1	1	2	1.0000	1.0000	0	0	1.760
3	1	2	2	1.0000	1.0000	0	0	1.245
3	1	3	1	1.0000	1.0000	0	1	1.366
3	1	4	1	1.0000	1.0000	1	1	1.514
3	1	5	2	1.0000	1.0000	0	1	-0.880
3	1	6	1	1.0000	1.0000	0	0	1.008
3	1	7	1	1.0000	1.0000	1	1	1.438
3	1	8	2	1.0000	1.0000	0	1	1.333
3	1	9	2	1.0000	1.0000	1	1	1.020
3	1	10	2	1.0000	1.0000	1	1	1.027
3	1	11	2	1.0000	1.0000	0	1	0.857
3	1	12	1	1.0000	1.0000	1	1	0.879
3	1	13	2	1.0000	1.0000	1	1	1.067
3	1	14	1	1.0000	1.0000	1	1	0.988
3	1	15	2	1.0000	1.0000	1	1	1.147
3	1	16	2	1.0000	1.0000	1	1	0.821
3	1	17	1	1.0000	1.0000	0	1	1.177
3	1	18	2	1.0000	1.0000	1	1	1.312
3	1	19	2	1.0000	1.0000	0	1	0.725
3	1	20	1	1.0000	1.0000	1	1	0.786
3	1	21	1	1.0000	1.0000	1	1	1.595
3	1	22	1	1.0000	1.0000	1	1	1.175
3	1	23	2	1.0000	1.0000	1	1	1.062
3	1	24	2	1.0000	1.0000	0	1	0.777
3	1	25	1	1.0000	1.0000	0	1	0.987
3	1	26	2	1.0000	1.0000	0	1	0.988
3	1	27	1	1.0000	1.0000	0	1	0.837
3	1	28	2	1.0000	1.0000	1	1	1.356
3	1	29	2	0.2500	0.2500	0	1	1.356
3	1	30	2	0.2629	0.2629	0	1	1.356
3	1	31	2	0.2758	0.2758	1	1	1.356
3	1	32	2	0.2887	0.2887	1	1	1.356
3	1	33	2	0.3016	0.3016	1	1	1.356
3	1	34	1	0.3145	0.3145	0	1	1.356
3	1	35	2	0.3274	0.3274	1	1	1.356
3	1	36	1	0.3403	0.3403	1	1	1.356
3	1	37	1	0.3532	0.3532	0	1	1.356
3	1	38	1	0.3661	0.3661	1	1	1.356
3	1	39	2	0.3790	0.3790	0	1	1.356
